Standing,Team,Total,P,K,P,K,P,K,P,K,P,K,P,K
1.0,SJP2,90,2,9,1,14,9,2,10,7,1,21,20,0
2.0,TREX,73,1,7,2,6,12,5,11,0,6,5,1,12
3.0,SMS,55,4,7,5,9,13,5,14,2,5,7,11,9
4.0,SYND,49,8,1,10,3,8,5,3,10,12,4,4,7
5.0,ZBW,45,19,0,3,3,4,5,18,0,2,2,2,5
6.0,CRAZYx3,43,13,2,7,4,7,6,1,10,11,0,13,0
7.0,GOD,37,3,1,11,2,1,6,7,2,8,0,12,0
8.0,LOS,36,11,2,13,0,2,0,2,3,10,1,3,1
9.0,Xc,33,6,3,20,0,3,3,9,1,4,9,19,0
10.0,Uchinix,27,18,3,9,2,18,0,5,3,3,5,16,1
11.0,TRJ,26,16,6,4,5,16,1,8,4,15,0,14,1
12.0,HLDC,26,5,2,14,2,14,0,4,6,13,1,10,1
13.0,Sxercise,25,9,0,16,2,5,4,15,3,17,0,6,6
14.0,CHI,23,17,0,8,1,15,6,12,2,9,0,5,4
15.0,Dark Synergy,19,10,3,6,3,17,0,19,0,7,3,8,0
16.0,SPIRAL,16,14,5,18,0,19,0,17,3,19,3,7,1
17.0,Velocity,14,7,1,19,0,11,0,20,1,20,0,9,6
18.0,Onl1chance,10,20,0,17,1,10,7,16,0,18,0,17,0
19.0,F7,10,12,0,15,1,6,1,13,0,14,0,15,0
20.0,NoToDay,6,15,0,12,0,20,0,6,1,16,0,18,0
