,B vs D StandingsPlacements and killsPoints,B vs D StandingsPlacements and killsPoints,B vs D StandingsPlacements and killsPoints,B vs D StandingsPlacements and killsPoints,B vs D StandingsPlacements and killsPoints,B vs D StandingsPlacements and killsPoints,B vs D StandingsPlacements and killsPoints,B vs D StandingsPlacements and killsPoints,B vs D StandingsPlacements and killsPoints,B vs D StandingsPlacements and killsPoints,B vs D StandingsPlacements and killsPoints,B vs D StandingsPlacements and killsPoints,B vs D StandingsPlacements and killsPoints,B vs D StandingsPlacements and killsPoints,B vs D StandingsPlacements and killsPoints
,Unnamed: 0_level_1,Team,Total,"Round 1 Round 1 December 5, 2021 - 19:00 CETWorld's Edge MajorPushers Nemesis Rebel","Round 1 Round 1 December 5, 2021 - 19:00 CETWorld's Edge MajorPushers Nemesis Rebel","Round 2 Round 2 December 5, 2021 - 19:35 CETWorld's Edge Kungarna FIGVAM 69iQ esports","Round 2 Round 2 December 5, 2021 - 19:35 CETWorld's Edge Kungarna FIGVAM 69iQ esports","Round 3 Round 3 December 5, 2021 - 20:10 CETWorld's Edge Future Perfect YungMoneyGuild Totem Esports","Round 3 Round 3 December 5, 2021 - 20:10 CETWorld's Edge Future Perfect YungMoneyGuild Totem Esports","Round 4 Round 4 December 5, 2021 - 20:45 CETWorld's Edge YungMoneyGuild Rebel Rats","Round 4 Round 4 December 5, 2021 - 20:45 CETWorld's Edge YungMoneyGuild Rebel Rats","Round 5 Round 5 December 5, 2021 - 21:20 CETWorld's Edge 69iQ esports YungMoneyGuild Totem Esports","Round 5 Round 5 December 5, 2021 - 21:20 CETWorld's Edge 69iQ esports YungMoneyGuild Totem Esports","Round 6 Round 6 December 5, 2021 - 21:55 CETWorld's Edge Myztro Gaming SCARZ Europe 789","Round 6 Round 6 December 5, 2021 - 21:55 CETWorld's Edge Myztro Gaming SCARZ Europe 789"
,Unnamed: 0_level_2,Team,Total,P,K,P,K,P,K,P,K,P,K,P,K
0,1.0,FP,71,121,66,54,55,112,1515,45,77,45,66,54,11
1,2.0,YMG,57,141,11,180,0,29,55,112,1010,29,66,141,33
2,3.0,69IQ,49,82,22,37,77,190,0,160,0,112,1111,82,66
3,4.0,TTM,46,63,55,92,66,37,55,111,0,37,1010,200,0
4,5.0,KNG,42,45,44,112,44,111,11,54,55,82,22,92,0
5,6.0,GUILD,40,73,0,121,55,131,55,102,99,54,1010,190,0
6,7.0,NMS,37,29,1414,131,22,92,0,63,11,131,11,102,11
7,8.0,FV,36,180,0,29,1616,151,11,92,33,73,11,160,0
8,9.0,MYZ,32,200,0,170,0,63,0,190,0,141,11,112,1515
9,10.0,SZ.EU,31,111,77,160,22,141,11,131,0,170,22,29,77
10,11.0,789,31,92,0,45,22,102,44,73,11,190,11,37,44
11,12.0,RBL,31,37,22,190,0,73,11,29,33,111,0,63,22
12,13.0,TD,30,54,77,63,44,82,22,141,55,180,22,180,0
13,14.0,MP,29,112,66,200,0,200,0,121,0,102,22,151,55
14,15.0,PXL,19,102,22,73,22,160,55,151,11,151,0,121,11
15,16.0,RD,18,131,0,151,22,45,33,200,0,200,0,111,55
16,17.0,FORG,18,151,22,102,0,54,33,170,33,92,11,170,0
17,18.0,DM,16,190,0,111,11,121,33,180,0,63,22,73,22
18,19.0,SQG,16,170,0,141,0,170,0,82,44,160,0,45,44
19,20.0,RAT,16,160,0,82,11,180,0,37,22,121,0,131,22
