,B vs C StandingsPlacements and killsPoints,B vs C StandingsPlacements and killsPoints,B vs C StandingsPlacements and killsPoints,B vs C StandingsPlacements and killsPoints,B vs C StandingsPlacements and killsPoints,B vs C StandingsPlacements and killsPoints,B vs C StandingsPlacements and killsPoints,B vs C StandingsPlacements and killsPoints,B vs C StandingsPlacements and killsPoints,B vs C StandingsPlacements and killsPoints,B vs C StandingsPlacements and killsPoints,B vs C StandingsPlacements and killsPoints,B vs C StandingsPlacements and killsPoints,B vs C StandingsPlacements and killsPoints,B vs C StandingsPlacements and killsPoints
,Unnamed: 0_level_1,Team,Total,"Round 1 Round 1 March 26, 2022 - 16:00 GMTWorld's Edge Outplayed Phoenix Legacy ATK","Round 1 Round 1 March 26, 2022 - 16:00 GMTWorld's Edge Outplayed Phoenix Legacy ATK","Round 2 Round 2 March 26, 2022 - 16:30 GMTWorld's Edge Odin Gamers Fenerbahçe Esports Nemesis","Round 2 Round 2 March 26, 2022 - 16:30 GMTWorld's Edge Odin Gamers Fenerbahçe Esports Nemesis","Round 3 Round 3 March 26, 2022 - 17:00 GMTWorld's Edge Team EmpireMissing: outpalyed Fenerbahçe Esports","Round 3 Round 3 March 26, 2022 - 17:00 GMTWorld's Edge Team EmpireMissing: outpalyed Fenerbahçe Esports","Round 4 Round 4 March 26, 2022 - 17:30 GMTStorm Point Totem Esports Players ZETA DIVISION","Round 4 Round 4 March 26, 2022 - 17:30 GMTStorm Point Totem Esports Players ZETA DIVISION","Round 5 Round 5 March 26, 2022 - 18:00 GMTStorm Point SCARZ Guild Esports Rascals","Round 5 Round 5 March 26, 2022 - 18:00 GMTStorm Point SCARZ Guild Esports Rascals","Round 6 Round 6 March 26, 2022 - 18:30 GMTStorm Point Nemesis Totem Esports Solaris","Round 6 Round 6 March 26, 2022 - 18:30 GMTStorm Point Nemesis Totem Esports Solaris"
,Unnamed: 0_level_2,Team,Total,P,K,P,K,P,K,P,K,P,K,P,K
0,1.0,EMP,67,13,0,5,14,1,14,10,5,6,8,6,1
1,2.0,ZETA,56,6,16,12,0,13,1,3,7,15,3,4,11
2,3.0,TTM,55,8,2,6,1,16,3,1,10,4,4,2,4
3,4.0,NMS,44,18,0,3,4,7,2,18,0,10,2,1,12
4,5.0,OP,43,1,13,17,1,2,4,8,0,13,0,13,0
5,6.0,SMS,42,5,1,4,5,10,2,4,6,12,1,5,6
6,7.0,OG,38,20,0,1,6,9,3,11,3,8,4,9,3
7,8.0,GUILD,37,14,0,16,5,14,2,17,1,2,12,8,4
8,9.0,FB,35,9,0,2,2,3,4,14,1,7,1,10,3
9,10.0,SZ,34,16,0,9,4,4,1,15,0,1,8,11,0
10,11.0,PXL,33,2,9,14,3,8,3,12,0,9,0,14,2
11,12.0,RASC,32,15,0,7,3,12,0,6,5,3,6,7,0
12,13.0,PLRS,25,11,0,19,1,6,6,2,3,18,0,12,1
13,14.0,GOD,21,7,3,10,7,18,0,16,0,5,2,19,0
14,15.0,SOL,21,19,0,20,0,15,0,13,4,16,3,3,5
15,16.0,RBL,21,4,5,15,0,11,3,9,0,14,0,15,2
16,17.0,ALL,20,12,1,8,1,5,4,5,3,17,0,18,0
17,18.0,1872,12,17,2,11,0,19,0,7,5,11,0,16,0
18,19.0,ATK,12,3,4,13,0,17,0,19,0,19,0,17,0
19,20.0,MAGI,4,10,0,18,2,0,0,0,0,0,0,0,0
