,A vs C StandingsPlacements and killsPoints,A vs C StandingsPlacements and killsPoints,A vs C StandingsPlacements and killsPoints,A vs C StandingsPlacements and killsPoints,A vs C StandingsPlacements and killsPoints,A vs C StandingsPlacements and killsPoints,A vs C StandingsPlacements and killsPoints,A vs C StandingsPlacements and killsPoints,A vs C StandingsPlacements and killsPoints,A vs C StandingsPlacements and killsPoints,A vs C StandingsPlacements and killsPoints,A vs C StandingsPlacements and killsPoints,A vs C StandingsPlacements and killsPoints,A vs C StandingsPlacements and killsPoints,A vs C StandingsPlacements and killsPoints
,Unnamed: 0_level_1,Team,Total,"Round 1 Round 1 March 20, 2022 - 17:00 EDTStorm Point BAD BOYS G2 Esports FURIA Esports","Round 1 Round 1 March 20, 2022 - 17:00 EDTStorm Point BAD BOYS G2 Esports FURIA Esports","Round 2 Round 2 March 20, 2022 - 17:30 EDTStorm Point Nightmare G2 Esports Team Liquid","Round 2 Round 2 March 20, 2022 - 17:30 EDTStorm Point Nightmare G2 Esports Team Liquid","Round 3 Round 3 March 20, 2022 - 18:00 EDTStorm Point Cloud9 100 Thieves Renegades","Round 3 Round 3 March 20, 2022 - 18:00 EDTStorm Point Cloud9 100 Thieves Renegades","Round 4 Round 4 March 20, 2022 - 18:30 EDTWorld's Edge XSET TSM Team Liquid","Round 4 Round 4 March 20, 2022 - 18:30 EDTWorld's Edge XSET TSM Team Liquid","Round 5 Round 5 March 20, 2022 - 19:00 EDTWorld's Edge Cloud9 Buff Pathfinder Renegades","Round 5 Round 5 March 20, 2022 - 19:00 EDTWorld's Edge Cloud9 Buff Pathfinder Renegades","Round 6 Round 6 March 20, 2022 - 19:30 EDTWorld's Edge G2 Esports Cloud9 G-Force","Round 6 Round 6 March 20, 2022 - 19:30 EDTWorld's Edge G2 Esports Cloud9 G-Force"
,Unnamed: 0_level_2,Team,Total,P,K,P,K,P,K,P,K,P,K,P,K
0,1.0,C9,69,18,0,14,0,1,9,12,3,1,9,2,13
1,2.0,G2,60,2,6,2,8,11,0,5,2,5,1,1,4
2,3.0,ESA,50,6,9,4,5,8,3,13,7,8,3,7,7
3,4.0,100T,50,5,7,7,4,2,4,9,2,4,7,12,2
4,5.0,RNG,48,9,0,10,3,3,12,10,1,3,8,8,2
5,6.0,TL,45,4,0,3,7,17,0,3,9,14,5,9,2
6,7.0,TSM,45,8,2,6,1,5,4,2,9,6,7,11,0
7,8.0,NM,35,10,3,1,8,15,4,15,0,13,3,20,0
8,9.0,XSET,34,12,0,11,1,6,3,1,11,11,1,17,0
9,10.0,BAD,29,1,9,20,0,14,5,16,0,15,0,14,0
10,11.0,LVG,25,16,0,12,7,13,0,11,1,16,0,4,9
11,12.0,GFORCE,24,13,4,18,3,19,0,14,3,10,0,3,3
12,13.0,LZR,23,15,1,8,2,4,2,7,0,18,0,5,3
13,14.0,CLX,21,14,5,17,0,10,1,20,0,19,3,6,6
14,15.0,BP,21,17,3,9,0,18,0,18,0,2,4,10,1
15,16.0,CAS,20,7,5,13,3,16,3,19,0,9,0,18,3
16,17.0,BBG,19,19,0,5,3,7,2,8,4,20,0,19,1
17,18.0,FUR,19,3,2,16,1,12,0,6,4,17,0,13,0
18,19.0,OA,14,11,0,19,1,9,1,4,3,12,0,16,0
19,20.0,WASH,10,20,0,15,0,20,0,17,0,7,5,15,0
