Standing,Team,Total,P,K,P.1,K.1,P.2,K.2,P.3,K.3,P.4,K.4,P.5,K.5,Bracket
1.0,LM,94,1,12,1,12,7,1,20,0,2,19,17,5,Finals
2.0,CLG,66,14,0,3,11,11,1,1,16,20,0,9,5,Finals
3.0,NM,60,10,0,13,2,9,5,2,11,8,4,3,8,Finals
4.0,WASH,51,17,3,11,5,20,0,17,5,4,9,2,8,Finals
5.0,RCO,49,5,3,2,4,16,1,8,0,6,0,1,3,Finals
6.0,OA,46,6,2,9,0,5,7,14,0,3,9,5,7,Finals
7.0,SAF,36,4,0,12,2,12,5,6,5,15,0,4,4,Finals
8.0,D A B,34,20,0,8,2,6,1,9,1,1,7,11,0,Finals
9.0,TDG,31,8,8,7,0,8,3,10,7,19,0,10,2,Finals
10.0,LVG,31,11,4,15,2,13,2,11,3,5,1,7,3,Finals
11.0,LKM,30,3,12,10,3,14,2,16,0,14,0,13,0,Finals
12.0,BAD,29,12,3,20,2,3,8,12,3,13,3,16,0,Finals
13.0,CAS,27,7,5,14,1,10,0,3,3,9,1,15,1,Finals
14.0,My Neck My Back,27,13,0,5,0,4,5,5,1,10,0,6,2,Finals
15.0,RL,25,19,0,16,2,2,7,18,0,11,0,8,2,Finals
16.0,ERA,22,15,0,18,0,1,5,15,1,18,1,12,0,Finals
17.0,RAWR,21,2,2,19,0,18,0,7,0,7,2,19,2,Finals
18.0,CCE,19,18,0,4,10,19,0,19,0,16,1,14,2,Finals
19.0,AST,17,9,1,6,3,17,3,13,1,12,0,18,2,Finals
20.0,Boston Monsters,7,16,0,17,0,15,1,4,0,17,0,20,0,Finals
1.0,My Neck My Back,79,1,11,18,0,6,5,3,12,1,10,10,5,Losers_Bracket
2.0,AST,49,11,4,2,5,2,12,14,3,17,3,14,1,Losers_Bracket
3.0,OA,45,10,0,19,2,7,3,9,6,8,1,1,12,Losers_Bracket
4.0,CAS,43,7,5,11,3,12,2,4,7,9,0,3,7,Losers_Bracket
5.0,ERA,41,20,0,8,4,17,0,13,3,3,5,2,10,Losers_Bracket
6.0,Boston Monsters,41,12,3,15,1,3,5,1,7,13,3,18,0,Losers_Bracket
7.0,BAD,40,18,0,1,14,19,0,15,0,5,8,16,1,Losers_Bracket
8.0,RAWR,39,17,0,16,0,1,8,6,2,4,6,8,1,Losers_Bracket
9.0,CCE,35,5,8,7,6,16,6,8,1,18,0,9,3,Losers_Bracket
10.0,TDG,34,16,3,13,0,10,2,2,8,10,0,4,2,Losers_Bracket
11.0,MOAN,32,9,6,12,3,11,5,5,0,11,0,5,5,Losers_Bracket
12.0,NEAN,32,13,5,17,0,4,5,18,0,2,6,11,0,Losers_Bracket
13.0,Sussy Bakas,29,3,2,5,7,14,0,16,0,7,1,15,3,Losers_Bracket
14.0,Code Cloud,28,4,2,3,5,15,0,12,1,19,0,7,3,Losers_Bracket
15.0,RT,24,14,0,4,7,20,0,17,0,6,8,17,0,Losers_Bracket
16.0,Onyx,21,6,4,6,0,9,0,10,3,16,0,12,3,Losers_Bracket
17.0,EQ,19,19,0,10,0,5,4,7,3,15,1,13,0,Losers_Bracket
18.0,SDO,19,2,5,9,0,18,0,20,0,12,2,20,0,Losers_Bracket
19.0,DUMPERS,12,15,0,20,0,13,1,19,0,14,3,6,2,Losers_Bracket
20.0,FNS,9,8,0,14,0,8,1,11,1,20,0,19,1,Losers_Bracket
1.0,CLG,83,1,11,1,9,18,0,1,8,3,5,4,2,Winners_Bracket
2.0,LM,72,3,7,3,7,1,9,4,10,8,1,16,5,Winners_Bracket
3.0,RCO,54,17,1,6,4,5,6,16,0,2,8,1,7,Winners_Bracket
4.0,NM,50,8,2,15,0,4,5,2,5,1,5,8,2,Winners_Bracket
5.0,WASH,38,19,0,8,9,7,9,14,0,7,11,20,0,Winners_Bracket
6.0,D A B,36,7,6,4,2,11,0,13,1,5,5,6,5,Winners_Bracket
7.0,SAF,36,12,5,2,7,9,0,5,2,6,2,15,0,Winners_Bracket
8.0,LVG,36,2,8,9,3,2,3,20,0,19,0,9,0,Winners_Bracket
9.0,RL,34,9,1,7,3,8,4,10,2,16,0,2,6,Winners_Bracket
10.0,LKM,31,4,2,13,1,3,2,6,3,4,2,17,0,Winners_Bracket
11.0,DUMPERS,27,13,2,18,0,6,6,18,0,15,2,7,9,Winners_Bracket
12.0,MOAN,27,18,0,11,0,10,3,15,6,18,1,3,6,Winners_Bracket
13.0,RT,21,20,0,14,0,19,0,3,6,9,2,12,2,Winners_Bracket
14.0,AST,19,16,0,10,4,16,0,7,5,11,3,13,0,Winners_Bracket
15.0,NEAN,18,10,1,19,1,15,4,12,5,12,2,18,0,Winners_Bracket
16.0,BAD,18,11,1,20,0,20,0,8,2,14,2,10,7,Winners_Bracket
17.0,Onyx,18,5,2,12,2,13,3,9,0,10,0,14,0,Winners_Bracket
18.0,My Neck My Back,16,14,2,17,2,12,1,17,0,17,0,5,5,Winners_Bracket
19.0,ERA,14,6,4,5,2,17,0,19,0,20,1,19,0,Winners_Bracket
20.0,CAS,8,15,0,16,0,14,0,11,1,13,2,11,0,Winners_Bracket
