Standing,Team,Total,P,K,P.1,K.1,P.2,K.2,P.3,K.3,P.4,K.4,P.5,K.5,Lobby
1.0,CIA,57,5,8,13,0,8,2,1,12,5,12,20,0,Lobby 1
2.0,SLU,56,3,7,2,6,4,1,16,0,6,3,2,6,Lobby 1
3.0,OF,49,10,4,15,2,10,2,3,11,2,7,14,1,Lobby 1
4.0,ElemenT,45,6,3,17,0,1,9,11,1,3,4,9,3,Lobby 1
5.0,USB,40,4,2,5,3,2,7,9,0,14,0,4,2,Lobby 1
6.0,Coquinha gelada,39,18,0,12,1,6,8,5,7,4,4,5,2,Lobby 1
7.0,Love Egirls,39,1,10,9,3,13,1,4,3,10,0,16,0,Lobby 1
8.0,BTH,38,19,0,7,0,3,1,2,1,7,0,7,11,Lobby 1
9.0,Blagueur,36,15,0,4,15,11,0,8,2,11,4,8,3,Lobby 1
10.0,TK,35,2,11,16,0,20,0,19,1,12,8,13,4,Lobby 1
11.0,AGCL,34,16,0,10,0,9,3,10,5,17,0,1,8,Lobby 1
12.0,AIM,31,13,3,11,6,19,0,18,0,13,3,3,9,Lobby 1
13.0,As Misera,30,9,0,1,7,12,1,7,2,8,0,19,0,Lobby 1
14.0,New Age,29,11,1,3,11,15,3,17,1,18,0,12,3,Lobby 1
15.0,Slav Animals,26,8,3,19,0,7,12,13,3,15,0,11,0,Lobby 1
16.0,OnlyResenha,25,17,0,20,0,14,2,12,1,1,8,17,0,Lobby 1
17.0,ZETTA,21,12,0,8,1,5,3,20,0,9,4,10,2,Lobby 1
18.0,TCS,18,20,0,14,2,16,5,15,5,20,0,6,1,Lobby 1
19.0,sFx,12,7,4,6,0,17,0,14,0,19,0,15,0,Lobby 1
20.0,SP,9,14,0,18,0,18,0,6,0,16,2,18,3,Lobby 1
